Date : 2023-09-21 23:57:19
Directory : e:\project\multi_outcome\frontend
Total : 61 files,  47720 codes, 7489 comments, 2897 blanks, all 58106 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     22,515 |          0 |         10 |     22,525 |
| JavaScript         |         28 |     16,614 |      7,234 |      2,563 |     26,411 |
| Vue                |         27 |      8,430 |        239 |        300 |      8,969 |
| CSS                |          1 |        105 |          4 |         16 |        125 |
| Django HTML        |          1 |         47 |          0 |          8 |         55 |
| JSON with Comments |          1 |          9 |         12 |          0 |         21 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                   |         61 |     47,720 |      7,489 |      2,897 |     58,106 |
| . (Files)                                                                           |          6 |     23,568 |      3,823 |         14 |     27,405 |
| public                                                                              |          3 |        375 |         28 |         65 |        468 |
| src                                                                                 |         52 |     23,777 |      3,638 |      2,818 |     30,233 |
| src (Files)                                                                         |          3 |         88 |         45 |         13 |        146 |
| src\components                                                                      |         12 |      1,865 |        106 |         93 |      2,064 |
| src\componentsInteraction                                                           |          1 |          2 |         14 |          5 |         21 |
| src\pages                                                                           |          4 |         75 |          1 |         13 |         89 |
| src\plugin                                                                          |         20 |     15,179 |      3,305 |      2,493 |     20,977 |
| src\plugin (Files)                                                                  |          7 |      1,980 |         74 |         69 |      2,123 |
| src\plugin\dagre                                                                    |          5 |     12,423 |      3,204 |      2,391 |     18,018 |
| src\plugin\extracted                                                                |          1 |         59 |         17 |          4 |         80 |
| src\plugin\joint                                                                    |          1 |         52 |          0 |          1 |         53 |
| src\plugin\optimal                                                                  |          2 |        199 |          2 |          9 |        210 |
| src\plugin\original                                                                 |          1 |         67 |          1 |          3 |         71 |
| src\plugin\request                                                                  |          1 |         14 |          3 |          1 |         18 |
| src\plugin\super                                                                    |          1 |         65 |          0 |          3 |         68 |
| src\plugin\tightened                                                                |          1 |        320 |          4 |         12 |        336 |
| src\router                                                                          |          1 |        103 |          8 |          3 |        114 |
| src\store                                                                           |          1 |         26 |         33 |          8 |         67 |
| src\views                                                                           |         10 |      6,439 |        126 |        190 |      6,755 |
| src\views\DirectedGraph                                                             |          9 |      6,395 |        121 |        183 |      6,699 |
| src\views\Layout                                                                    |          1 |         44 |          5 |          7 |         56 |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                            | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| e:\project\multi_outcome\frontend\PC_5_top_with_edges_nodes_3outcomes.json          | JSON               |         46 |          0 |          8 |         54 |
| e:\project\multi_outcome\frontend\dagre-d3.min.js                                   | JavaScript         |      1,035 |      3,781 |          0 |      4,816 |
| e:\project\multi_outcome\frontend\jsconfig.json                                     | JSON with Comments |          9 |         12 |          0 |         21 |
| e:\project\multi_outcome\frontend\package-lock.json                                 | JSON               |     22,396 |          0 |          1 |     22,397 |
| e:\project\multi_outcome\frontend\package.json                                      | JSON               |         73 |          0 |          1 |         74 |
| e:\project\multi_outcome\frontend\public\index.html                                 | Django HTML        |         47 |          0 |          8 |         55 |
| e:\project\multi_outcome\frontend\public\jquery.tipsy.js                            | JavaScript         |        223 |         24 |         41 |        288 |
| e:\project\multi_outcome\frontend\public\tipsy.css                                  | CSS                |        105 |          4 |         16 |        125 |
| e:\project\multi_outcome\frontend\src\App.vue                                       | Vue                |         51 |          6 |          4 |         61 |
| e:\project\multi_outcome\frontend\src\babel.config.js                               | JavaScript         |         15 |         11 |          1 |         27 |
| e:\project\multi_outcome\frontend\src\componentsInteraction\bus.js                  | JavaScript         |          2 |         14 |          5 |         21 |
| e:\project\multi_outcome\frontend\src\components\AppHeader.vue                      | Vue                |         13 |          5 |          3 |         21 |
| e:\project\multi_outcome\frontend\src\components\AppMainCharacter.vue               | Vue                |         17 |          7 |          2 |         26 |
| e:\project\multi_outcome\frontend\src\components\AppMainPlot.vue                    | Vue                |         58 |          0 |          5 |         63 |
| e:\project\multi_outcome\frontend\src\components\AppNavbar.vue                      | Vue                |         75 |          2 |          3 |         80 |
| e:\project\multi_outcome\frontend\src\components\CausalAnalysisHistory.vue          | Vue                |        515 |         13 |          6 |        534 |
| e:\project\multi_outcome\frontend\src\components\CausalGraphView.vue                | Vue                |        150 |         16 |         15 |        181 |
| e:\project\multi_outcome\frontend\src\components\DirectedGraphView.vue              | Vue                |        300 |          0 |         14 |        314 |
| e:\project\multi_outcome\frontend\src\components\ForceDirectedGraphView copy.vue    | Vue                |        141 |         36 |         19 |        196 |
| e:\project\multi_outcome\frontend\src\components\MultiOutcomesView.vue              | Vue                |        145 |         15 |         15 |        175 |
| e:\project\multi_outcome\frontend\src\components\OutcomeSelector.vue                | Vue                |        368 |         12 |          8 |        388 |
| e:\project\multi_outcome\frontend\src\components\VariablesCheckbox.vue              | Vue                |         42 |          0 |          1 |         43 |
| e:\project\multi_outcome\frontend\src\components\upload.vue                         | Vue                |         41 |          0 |          2 |         43 |
| e:\project\multi_outcome\frontend\src\main.js                                       | JavaScript         |         22 |         28 |          8 |         58 |
| e:\project\multi_outcome\frontend\src\pages\dimensionView.vue                       | Vue                |         28 |          0 |          2 |         30 |
| e:\project\multi_outcome\frontend\src\pages\populationControl.vue                   | Vue                |         18 |          0 |          3 |         21 |
| e:\project\multi_outcome\frontend\src\pages\redirect.vue                            | Vue                |         21 |          1 |          3 |         25 |
| e:\project\multi_outcome\frontend\src\pages\test.vue                                | Vue                |          8 |          0 |          5 |         13 |
| e:\project\multi_outcome\frontend\src\plugin\charts.js                              | JavaScript         |        470 |          7 |          4 |        481 |
| e:\project\multi_outcome\frontend\src\plugin\dagre\dagre.js                         | JavaScript         |      3,118 |        843 |        580 |      4,541 |
| e:\project\multi_outcome\frontend\src\plugin\dagre\dagre_fixed.js                   | JavaScript         |      3,034 |        742 |        607 |      4,383 |
| e:\project\multi_outcome\frontend\src\plugin\dagre\optimate.js                      | JavaScript         |        143 |         15 |         24 |        182 |
| e:\project\multi_outcome\frontend\src\plugin\dagre\origin.js                        | JavaScript         |      3,012 |        742 |        597 |      4,351 |
| e:\project\multi_outcome\frontend\src\plugin\dagre\temp.js                          | JavaScript         |      3,116 |        862 |        583 |      4,561 |
| e:\project\multi_outcome\frontend\src\plugin\extracted\CountPos.js                  | JavaScript         |         59 |         17 |          4 |         80 |
| e:\project\multi_outcome\frontend\src\plugin\history.js                             | JavaScript         |        151 |          0 |          3 |        154 |
| e:\project\multi_outcome\frontend\src\plugin\joint\linkAndNode.js                   | JavaScript         |         52 |          0 |          1 |         53 |
| e:\project\multi_outcome\frontend\src\plugin\links.js                               | JavaScript         |         26 |          0 |          1 |         27 |
| e:\project\multi_outcome\frontend\src\plugin\optimal\CountPos.js                    | JavaScript         |        143 |          2 |          7 |        152 |
| e:\project\multi_outcome\frontend\src\plugin\optimal\GetSonPos.js                   | JavaScript         |         56 |          0 |          2 |         58 |
| e:\project\multi_outcome\frontend\src\plugin\original\CountPos.js                   | JavaScript         |         67 |          1 |          3 |         71 |
| e:\project\multi_outcome\frontend\src\plugin\request\edge.js                        | JavaScript         |         14 |          3 |          1 |         18 |
| e:\project\multi_outcome\frontend\src\plugin\singleGraph.js                         | JavaScript         |        234 |         19 |         13 |        266 |
| e:\project\multi_outcome\frontend\src\plugin\sonGraph.js                            | JavaScript         |        395 |         36 |         27 |        458 |
| e:\project\multi_outcome\frontend\src\plugin\superGraph.js                          | JavaScript         |        578 |         12 |         20 |        610 |
| e:\project\multi_outcome\frontend\src\plugin\super\anchor.js                        | JavaScript         |         65 |          0 |          3 |         68 |
| e:\project\multi_outcome\frontend\src\plugin\tightened\CountPos.js                  | JavaScript         |        320 |          4 |         12 |        336 |
| e:\project\multi_outcome\frontend\src\plugin\variable.js                            | JavaScript         |        126 |          0 |          1 |        127 |
| e:\project\multi_outcome\frontend\src\router\index.js                               | JavaScript         |        103 |          8 |          3 |        114 |
| e:\project\multi_outcome\frontend\src\store\index.js                                | JavaScript         |         26 |         33 |          8 |         67 |
| e:\project\multi_outcome\frontend\src\views\DirectedGraph\AnchoredSuperGraph.vue    | Vue                |        801 |         15 |         24 |        840 |
| e:\project\multi_outcome\frontend\src\views\DirectedGraph\ExtractedSubGraph.vue     | Vue                |        755 |          4 |         20 |        779 |
| e:\project\multi_outcome\frontend\src\views\DirectedGraph\MultipleDirectedGraph.vue | Vue                |        120 |          0 |          2 |        122 |
| e:\project\multi_outcome\frontend\src\views\DirectedGraph\OptimalSubGraph.vue       | Vue                |        843 |         17 |         20 |        880 |
| e:\project\multi_outcome\frontend\src\views\DirectedGraph\OriginalSubGraph.vue      | Vue                |        694 |          5 |         18 |        717 |
| e:\project\multi_outcome\frontend\src\views\DirectedGraph\SimpleDirectedGraph.vue   | Vue                |        914 |         25 |         30 |        969 |
